main_category,title,average_rating,rating_number,features,description,price,store,categories,details,parent_asin
Musical Instruments,Ernie Ball Mondo Slinky Nickelwound Electric Guitar Strings 10.5-52 Gauge,4.8,100615,"['Ernie Ball Slinkys are played by legends around the world including Slash, Jimmy Page, Metallica, Eric Clapton, and more', 'Mondo Slinkys are ideal for players who prefer a heavier gauge with a little less tension on the plain strings (E, B, G)', 'Element Shield Packaging prolongs string life and keeps strings as fresh as the day they were made', 'Bright, balanced tone', 'Made in California, USA with the finest and freshest materials']","['Product Description', 'Ernie Ball Mondo Slinkys are ideal for players who prefer a heavier gauge with a little less tension on the plain strings (E, B, G). These electric guitar strings are precision manufactured to the highest standards and most exacting specifications to ensure consistency, optimum performance, and long life. Mondo Slinky wound strings are made from nickel-plated steel wire wrapped around a hex-shaped steel core wire while the plain strings are made of specially tempered tin-plated high-carbon steel, resulting in that iconic Slinky feel and tone that players have relied on for decades. Mondo Slinky gauges are .0105 .0135 .0175 .030 .042 .052.', 'From the Manufacturer', 'Mondo Slinky strings are ideal for players who prefer a heavier low end with only a slight difference in tension on the plain strings. Gauge combination: 10. 5, 13. 5, 17. 5, 30, 42, 52']",6.99,Ernie Ball,"['Musical Instruments', 'Instrument Accessories', 'Guitar & Bass Accessories', 'Strings', 'Electric Guitar Strings']","{""Item Weight"": ""1.09 ounces"", ""Product Dimensions"": ""4.5 x 0.25 x 4.5 inches"", ""Country of Origin"": ""USA"", ""Item model number"": ""P02211"", ""Best Sellers Rank"": {""Musical Instruments"": 1, ""Electric Guitar Strings"": 1}, ""Is Discontinued By Manufacturer"": ""No"", ""Date First Available"": ""March 3, 2020"", ""Color Name"": ""Mondo (10.5-52)"", ""String Gauge"": ""Heavy"", ""Number of Strings"": ""6"", ""Size"": ""Single Pack"", ""Brand"": ""Ernie Ball"", ""Color"": ""Mondo (10.5-52)"", ""Instrument"": ""Electric Guitar""}",B0BSGM6CQ9
Musical Instruments,"BONAOK Wireless Bluetooth Karaoke Microphone, 3-in-1 Portable Handheld Mic Speaker Machine for All Smartphones, Gifts to Girls Boys Kids Adults All Age Q37(Black Gold)",4.4,79425,"['【PARTICULAR DESIGN】 - The excellent design of karaoke microphones is very suitable for your hand, which let you feel more comfortable. And the built-in high-quality Bluetooth module can be used as a wireless speaker, mp3 player, and recorder, compatible with various singing applications.', '【TWO WAYS CONNECTION】- Bluetooth Connection & Cable Connection. You just need to connect your phone with cable or Bluetooth, and then open the singing APP on your phone. The built-in clear audio and the vividly sound effect let you listen and sing anytime and anywhere.', '【HIGH COMPATIBILITY】- Supporting micro SD card max 32GB(NOT INCLUDED) and song switch. The Bluetooth has a great distance of connection(10m).', '【EASY TO USE】- Multi-function buttons, easy to switch to different modes, adjust microphone, echo, and music volume separately, enjoy singing along with the music. With echo mode, a karaoke mic can bring a surrounding immersion.', '【MICROPHONE FOR KIDS & ADULTS】-Come with 1* BONAOK microphone, 1* Audio Cable, 1*Charge Cable, 1*User Manual, and 1*Colorful Box. Cute gifts idea for kids, teens and adults, friends and family, suitable for all kinds of holidays and festivals.']",[],29.99,BONAOK,"['Musical Instruments', 'Microphones & Accessories', 'Microphones', 'Wireless Microphones & Systems', 'Handheld Wireless Microphones']","{""Item Weight"": ""1.3 pounds"", ""Product Dimensions"": ""3.86 x 4.25 x 11.02 inches"", ""Country of Origin"": ""China"", ""Item model number"": ""Q37"", ""Batteries"": ""1 Lithium Ion batteries required."", ""Best Sellers Rank"": {""Musical Instruments"": 3, ""Handheld Wireless Microphones & Systems"": 1}, ""Is Discontinued By Manufacturer"": ""No"", ""Date First Available"": ""November 8, 2018"", ""Color Name"": ""Black Gold"", ""Compatible Devices"": ""Laptop, Personal Computer, Tablet, Smartphone"", ""Connector Type"": ""Micro USB, 3.5 mm Jack"", ""Hardware Platform"": ""PC, Tablet, Smartphone"", ""Power Source"": ""Battery Powered"", ""Recommended Uses For Product"": ""Singing, Karaoke"", ""Brand"": ""BONAOK"", ""Model Name"": ""Q37"", ""Connectivity Technology"": ""Bluetooth"", ""Special Feature"": ""Volume Control"", ""Color"": ""Black Gold"", ""Included Components"": ""Audio Cable, Charging Cable"", ""Polar Pattern"": ""Unidirectional""}",B09W4F2X6S
Camera & Photo,"Boya BYM1 by Shotgun Video Microphone by-M1 Ultimate 3.5mm Lapel Mic Clip-On Video Recording Omnidirectional Condenser for iPhone Android Smartphone Mac Tablet DSLR Camcorder, Black",4.0,68708,"['Our lavalier microphones can create perfect videos and audio files on your smartphone and tablet. Pristine sound without effort, no matter where you are!', 'Pick up sounds from your environment easily. Ideal for YouTuber, Interviews, Livestreams, Podcasting, Demo videos, Voice dictation, Instagram Live & More.', 'Compatible with Apple/ iPhone, iPad, Android & Windows Smartphones, tablets. Also works with DSLR, camcorders, Gopro, camcorders etc. with standard 3.5 mm (1/8 inch)mic input.', 'It comes with a deluxe pouch to keep the microphone safe, a special wind muff, a durable lapel clip, the longest cord at 20feet (6m),LR44 battery and a 1/4” adapter.', 'For Smartphone: switch off the microphone, slide the ON/OFF up to OFF/Smartphone, the power is shut down.']","['Specification Transducer Type: Electret Condenser Polar Pattern: Omni-directional Frequency Range: 65Hz ~ 18KHz Signal / Noise: 74dB SPL Sensitivity: -30dB +/-3dB / 0dB=1V/Pa, 1kHz Output Impedance: 1000 Ohm or less Output Connection: 3.5mm (1/8"") 4-pole gold plug Battery Type: LR44 (included) Dimension: Microphone :18.00mmH x 8.30mmW x 8.30mm Audio Cable: 20.00ft (6.00m) Weight: Microphone : 2.50g;Power Module: 18.00g']",14.95,BOYA,"['Musical Instruments', 'Microphones & Accessories', 'Microphones', 'Condenser Microphones', 'Instrument']","{""Product Dimensions"": ""5 x 2 x 4 inches"", ""Item Weight"": ""2.5 Grams"", ""Item model number"": ""BYM1"", ""Batteries"": ""1 LR44 batteries required."", ""Best Sellers Rank"": {""Musical Instruments"": 66551, ""Instrument Condenser Microphones"": 90}, ""Is Discontinued By Manufacturer"": ""No"", ""Date First Available"": ""August 12, 2014"", ""Manufacturer"": ""BBoyApps-418951"", ""Brand"": ""BOYA"", ""Model Name"": ""BY"", ""Connectivity Technology"": ""Auxiliary"", ""Connector Type"": ""3.5 mm Jack"", ""Special Feature"": ""built-in-microphone"", ""Compatible Devices"": ""Camcorder, Tablet, Smartphone"", ""Color"": ""Black"", ""Included Components"": ""Microphone"", ""Polar Pattern"": ""Omnidirectional""}",B076B8G5D8
Musical Instruments,"D'Addario Guitar Strings - Phosphor Bronze Acoustic Guitar Strings - EJ41 - Rich, Full Tonal Spectrum - For 12 String Guitars - 09-45 Extra Light 12-String",4.7,60133,"['CORROSION-RESISTANT, PRECISION WOUND –\xa0D’Addario Phosphor Bronze acoustic guitar strings are precision wound with phosphor bronze wrap wire, over a hexagonal high-carbon steel core.', 'WARM, BALANCED TONE - Phosphor Bronze wrap wire provides tried-and-true D’Addario acoustic tone, with beautiful balance and warmth suitable for all musical genres.', 'MOST POPULAR ACOUSTIC GUITAR STRING - \xa0Now the standard in acoustic guitar strings, Phosphor Bronze strings were originally pioneered by D’Addario in the 1970s.', 'EARN REWARD POINTS - D’Addario Phosphor Bronze acoustic guitar strings come with a code on the recyclable VCI bag, which you can register to earn Players Circle points.', 'MADE IN THE USA –\xa0Our Phosphor Bronze strings are made in the USA—drawn to exacting specifications at our New York production facility.']","[""D'Addario was the first to use Phosphor Bronze in acoustic guitar strings back in 1974. Today, Phosphor Bronze is played throughout the world and considered to be the standard in acoustic strings, thanks to its beautiful sonic balance and tonal warmth. Our pioneering Phosphor Bronze acoustic guitar strings are precision wound with phosphor bronze wrap wire over a high-carbon steel core, providing tonal versatility suitable for all acoustic styles and musical genres. This 09-45 Extra Light 12-String set is D'Addario's lightest gauge for 12-string acoustic guitar, providing easy playability while retaining adequate tone and projection for most playing situations.""]",10.99,D'Addario,"['Musical Instruments', 'Instrument Accessories', 'Guitar & Bass Accessories', 'Strings', 'Acoustic Guitar Strings']","{""Item Weight"": ""1.4 ounces"", ""Product Dimensions"": ""4.2 x 4.1 x 0.4 inches"", ""Domestic Shipping"": ""Item can be shipped within U.S."", ""International Shipping"": ""This item can be shipped to select countries outside of the U.S.  Learn More"", ""Country of Origin"": ""USA"", ""Item model number"": ""EJ41"", ""Best Sellers Rank"": {""Musical Instruments"": 15, ""Acoustic Guitar Strings"": 3}, ""Is Discontinued By Manufacturer"": ""No"", ""Date First Available"": ""March 1, 2007"", ""Color Name"": ""Bronze"", ""String Gauge"": ""Extra Light"", ""String Material"": ""Phosphor Bronze"", ""Number of Strings"": ""12"", ""Size"": ""Extra Light, 12-String, 9-45"", ""Brand"": ""D'Addario"", ""Color"": ""Bronze"", ""Instrument"": ""Acoustic Guitar"", ""String Material Type"": ""Phosphor Bronze""}",B0BTC9YJ2W
Musical Instruments,"Amazon Basics Adjustable Guitar Folding A-Frame Stand for Acoustic and Electric Guitars with Non-Slip Rubber and Soft Foam Arms, Fully Assembled",4.8,55452,"['A-frame universal guitar stand for acoustic and electric guitars', '3 adjustable-width settings to accommodate most guitar shapes', 'Lightweight, durable, metal construction; no assembly needed', 'Soft foam arms and back rest to protect your guitar', 'Folds flat for convenient transport and storage; non-slip rubber feet']","['Product Description', 'Amazon Basics Adjustable Guitar Folding A-Frame Stand for Acoustic and Electric Guitars with Non-Slip Rubber and Soft Foam Arms, Fully Assembled', 'From the Manufacturer', 'Amazon Basics']",17.75,Amazon Basics,"['Musical Instruments', 'Instrument Accessories', 'Guitar & Bass Accessories', 'Stands, Hangers & Racks', 'Stands', 'Single']","{""Item Weight"": ""3.53 pounds"", ""Product Dimensions"": ""8.12 x 14.6 x 3.4 inches"", ""Country of Origin"": ""China"", ""Item model number"": ""GFS70"", ""Best Sellers Rank"": {""Musical Instruments"": 17, ""Stands for Single Guitars & Basses"": 2}, ""Date First Available"": ""May 16, 2016""}",B018FCZKR2
Musical Instruments,"Focusrite Scarlett 4i4 3rd Gen USB Audio Interface, for Musicians, Songwriters, Guitarists, Content Creators — High-Fidelity, Studio Quality Recording, and All the Software You Need to Record",4.7,43271,"['Pro performance with two of the finest mic preamps – Sound better than ever with 4i4’s two mic preamps. Achieve a brighter and a more open recording thanks to the best performing mic preamps the Scarlett range has ever heard. A switchable Air mode will add extra clarity to your acoustic instruments and voice when recording with your Scarlett 4i4.', 'All the inputs you’ll need for your gear – Four balanced line inputs are available for connecting synths or other line level audio that you use in your music, so you can utilise your full setup with Scarlett. Four balanced outputs can be used for monitoring and effects sends to make life easier. With super low latency and class-leading drivers, you will have no problems capturing audio in the moment that is well-polished and true to the original source.', 'Crystal clear playback in studio quality – Get professional sounding recordings with Scarlett’s high-performance converters which enable you to record and mix at up to 24-bit/192kHz. Your recordings will retain all of their sonic qualities so that you can hear all the details in your track on playback.', 'Start producing right away with Easy Start – It’s easier than ever to get up and running with your Scarlett with our online tool, Easy Start. Whether you’re looking to record or playback audio, we will help you get started.', 'All the tools you need to start recording right, now – In the form of Hitmaker Expansion, we’ve partnered with our favourite industry partners to provide you with plenty of sound content and software so that you can create and record music right away. Create powerful guitars, luscious keys and huge drums. Get studio quality vocals with the aid of Antares Auto-Tune Access that allows natural sounding, near-real-time pitch adjustment for getting the best vocal takes.', 'Enjoy three years of warranty - Wherever you happen to be in the world, you can rely on a three-year warranty if any Focusrite hardware needs repairing or replacing due to a manufacturing fault.']","[""Scarlett 4i4 is the perfect interface for musicians and producers starting to expand their setups and needing extra connectivity. Take your creativity to the next level with four inputs and four outputs enabling simultaneous recording of microphones, instruments, synths, and drum machines - with maximum audio quality. Equipped with high performance 24-bit/192kHz AD-DA converters. The 4i4 features two of Focusrite's 3rd Gen Scarlett mic preamps with optional Air setting to reproduce the Air effect of their original ISA mic preamp, giving your vocal or acoustic recordings a brighter and more open sound. Record guitars or basses via the two high-headroom instrument inputs without any clipping or unwanted distortion and get creative using the four flexible line inputs – two on the front with gain control, and two fixed-line on the back allowing you to record up to four mono sources or two stereo line-level sources such as synthesizers or drum machines with clarity. A pair of virtual loopback inputs allows you to capture a stereo feed of any combination of hardware input and software playback channels – making podcasting, live streaming, and sampling tasks easier. Scarlett 4i4 is designed to stand up to days on the road and connects straight to your Mac or PC via USB cable. Your Scarlett 4i4 comes with the Hitmaker Expansion, an unbeatable range of tried-and-tested studio tools from some of the biggest names in the business. The Hitmaker Expansion includes: Antares Auto-Tune Access, Relab LX480 Essentials, Softube Marshall® Silver Jubilee 2555, XLN Audio Addictive Keys, XLN Audio Addictive Drums 2, Three Month Splice Sounds Subscription, Brainworx bx_console Focusrite SC, and Focusrite Red Plug-In Suite. Also included are Ableton Live Lite, and a Three Month Avid Pro Tools Artist subscription with their complete plugin bundle; all upon purchase, registration, and download. Interested in what headphones are compatible with Scarlett? Search 'Headphones' on the Focusrite help center for more information.""]",229.99,Focusrite,"['Musical Instruments', 'Studio Recording Equipment', 'Computer Recording', 'Audio Interfaces']","{""Item Weight"": ""15.9 ounces"", ""Product Dimensions"": ""4.72 x 7.28 x 1.87 inches"", ""Country of Origin"": ""China"", ""Item model number"": ""AMS-SCARLETT-4I4-3G"", ""Best Sellers Rank"": {""Musical Instruments"": 9, ""Computer Recording Audio Interfaces"": 1}, ""Is Discontinued By Manufacturer"": ""No"", ""Date First Available"": ""June 25, 2019"", ""Color Name"": ""Red"", ""Compatible Devices"": ""Personal Computer"", ""Hardware Interface"": ""USB"", ""Supported Software"": ""All the Software"", ""Operating System"": ""Mac"", ""Brand"": ""Focusrite"", ""Connectivity Technology"": ""USB Type-C"", ""Number of Channels"": ""2""}",B09RN7GR8F
Musical Instruments,"Amazon Basics 2-Pack XLR Microphone Cable for Speaker or PA System, All Copper Conductors, 6MM PVC Jacket, 6 Foot, Black",4.7,39853,"['FOR LIVE SOUND & RECORDING: XLR male to female microphone cable for studio recording and live sound', '3 PIN CONNECTORS: Zinc alloy 3-pin connectors with nickeling', 'DURABLE & FLEXIBLE: Protective metal housing and flexible 6.0mm PVC jacket', 'CLEAR TRANSMISSION: All-copper conductors with inner copper spiral shielding to reduce noise interference', 'PLUG & PLAY DESIGN: Easily use with XLR-compatible PA systems, speakers, and other sound equipment', 'IN THE BOX: 6 foot cable; 2-pack']","['Product Description', 'Amazon Basics Standard XLR Male to Female Balanced Microphone Cable, Durable & Flexible, Noise-Cancelling - 6 Feet, 2-Pack, Black', 'From the Manufacturer', 'Amazon Basics']",16.04,Amazon Basics,"['Musical Instruments', 'Live Sound & Stage', 'Stage & Studio Cables', 'Microphone Cables']","{""Brand"": ""Amazon Basics"", ""Connector Type"": ""XLR"", ""Cable Type"": ""XLR"", ""Compatible Devices"": ""Speaker"", ""Color"": ""Black"", ""Connector Gender"": ""Male-to-Female"", ""Number of Pins"": ""3"", ""Unit Count"": ""2.0 Count"", ""Item Weight"": ""9.6 ounces"", ""Connectivity Technology"": ""XLR"", ""Model Name"": ""Microphone Cable"", ""Number of Items"": ""2"", ""Product Dimensions"": ""72 x 0.75 x 0.75 inches"", ""Country of Origin"": ""China"", ""Item model number"": ""BB103"", ""Best Sellers Rank"": {""Musical Instruments"": 2, ""Microphone Cables"": 1}, ""Date First Available"": ""November 4, 2020"", ""Color Name"": ""Black"", ""Material Type"": ""Copper"", ""Size"": ""6 Feet""}",B06X9KG3HW
Musical Instruments,"RockJam 61 Key Touch Display Keyboard Piano Kit with Digital Piano Bench, Electric Piano Stand, Headphones Piano Note Stickers, Sustain Pedal & Simply Piano Lessons",4.5,39352,"['The RockJam 761 keyboard piano super kit includes a digital keyboard with 61 full-size keys giving you that traditional piano feel whilst maintaining a portable and compact design that can be powered by either mains (power supply included) or batteries', 'This RockJam 761 piano keyboard features a touch display panel that both displays feedback and engages the 200 rhythms, 200 tones, a teaching function, and 30 demo songs that are part of its functionality', 'The RockJam 761 electric piano has record and playback functionality allowing you to build layers to your sound and the midi output integrates with your digital audio workstation like Ableton and logic via a single cable', 'This music keyboard super kit package includes a keyboard stand that is sturdy in design and can be adjusted to suit keyboard piano players both young and old', 'This electric piano keyboard super kit contains a padded seat that is easily folded and has a thick padded seat for hours of comfortable play']",['The ROCKJAM 761 piano keyboard Super Kit is a complete package for any aspiring pianist containing all you need to take you through a musical journey.'],162.14,RockJam,"['Musical Instruments', 'Keyboards & MIDI', 'Electronic Keyboards', 'Portable & Arranger Keyboards']","{""Item Weight"": ""12 pounds"", ""Product Dimensions"": ""35.6 x 12.6 x 4.3 inches"", ""Country of Origin"": ""China"", ""Item model number"": ""RJ761-SK"", ""Best Sellers Rank"": {""Musical Instruments"": 36, ""Portable & Arranger Keyboards"": 1}, ""Is Discontinued By Manufacturer"": ""No"", ""Date First Available"": ""March 1, 2017"", ""Color Name"": ""Black"", ""Number of Keyboard Keys"": ""61"", ""Output Wattage"": ""10 Watts"", ""Size"": ""61 Key Keyboard Piano Superkit"", ""Power Source"": ""Electric"", ""Standing screen display size"": ""3"", ""Voltage"": ""120 Volts"", ""Brand"": ""RockJam"", ""Color"": ""Black"", ""Number of Keys"": ""61"", ""Special Feature"": ""Portable""}",B0BZK3X11C
Musical Instruments,"D'Addario Guitar Strings - XL Nickel Electric Guitar Strings - EXL150H - Perfect Intonation, Consistent Feel, Reliable Durability - For 6 String Guitars - 10-26 High Strung/Nashville Tuning",4.8,37890,"['BESTSELLING SET –\xa0XL Nickel are our best-selling electric guitar strings, revered by players since 1974.', 'VERSATILE, BRIGHT TONE – Nickel-plated steel wrap wire provides a bright, versatile electric guitar tone, great for a variety of musical genres.', 'FOR THE ULTIMATE PERFORMANCE – Like all D’Addario electric guitar strings, XL Nickel are made with our proprietary Hex-Core, ensuring perfect intonation, consistent feel, and reliable durability.', 'EARN REWARD POINTS - XL Nickel sets have a code on the recyclable VCI bag, which you can register to earn Players Circle points.', 'MADE IN THE USA –\xa0XL Nickel electric guitar strings are made in the USA—drawn to our exacting specifications at our New York production facility.']","['XL Nickel Wound electric guitar strings are the standard against which all other strings are measured. Our best-belling electric set, XL Nickel has been revered by players everywhere since 1974. Made with a high carbon steel core and nickel-plated steel wrap wire, XL Nickel strings have a bright, versatile tone, ideal for a wide variety of musical styles. Popular with studio musicians for doubling 6-string guitar parts to achieve a 12-string effect, this 10-26 High Strung/Nashville Tuning gauge utilizes the higher \'octave\' strings of a 12-string set to achieve a shimmering, ""high-strung"" tone.']",5.99,D'Addario,"['Musical Instruments', 'Instrument Accessories', 'Guitar & Bass Accessories', 'Strings', 'Electric Guitar Strings']","{""Item Weight"": ""0.16 ounces"", ""Product Dimensions"": ""4.4 x 4.4 x 0.1 inches"", ""Domestic Shipping"": ""Item can be shipped within U.S."", ""International Shipping"": ""This item can be shipped to select countries outside of the U.S.  Learn More"", ""Country of Origin"": ""USA"", ""Item model number"": ""EXL150H"", ""Best Sellers Rank"": {""Musical Instruments"": 13, ""Electric Guitar Strings"": 2}, ""Is Discontinued By Manufacturer"": ""No"", ""Date First Available"": ""December 10, 2006"", ""String Gauge"": ""Custom"", ""String Material"": ""Nickel Steel"", ""Number of Strings"": ""6"", ""Size"": ""High-Strung/Nashville Tuning, 10-26"", ""Brand"": ""D'Addario"", ""Instrument"": ""Electric Guitar"", ""String Material Type"": ""Nickel Steel"", ""Coating Description"": ""Coated""}",B0BPJ4Q6FJ
Musical Instruments,WINGO Guitar Capo for Acoustic and Electric Guitars - Rosewood Color with 5 Picks,4.8,36426,"['✔︎Quick Release : super easy to clip on guitar and quick to change. It can even change keys during a song,just clamp it and let your song fly.', '✔︎Versatile: this capo can suit your steel string acoustic and electric guitar ,banjo,mandolin or ukulele well.', '✔︎No Buzz: perfectly balanced pressure for that clear tone with strong spring.', '✔︎Well Made: High-Grade aluminum alloy material and much thicker silicone pad protect your guitars from scratches or demage.', '✔︎What you get: Unique beautiful wood finish capo with 5 medium picks which are shipped by random,might not the same color as the picture,but the same quality and also super beautiful. Rock & Roll with this capo,and it comes with lifetime warranty.']",[],8.29,WINGO,"['Musical Instruments', 'Instrument Accessories', 'Guitar & Bass Accessories', 'Capos']","{""Item Weight"": ""1.2 Ounces"", ""Product Dimensions"": ""3.2 x 3.2 x 0.47 inches"", ""Item model number"": ""jx-09"", ""Best Sellers Rank"": {""Musical Instruments"": 18, ""Guitar Capos"": 1}, ""Is Discontinued By Manufacturer"": ""No"", ""Date First Available"": ""July 4, 2017"", ""Color Name"": ""Rosewood Color"", ""Compatible Devices"": ""Acoustic Guitar, Electric Guitar"", ""Guitar Pick Thickness"": ""medium"", ""Item Styling"": ""World Instruments"", ""Number of Strings"": ""6"", ""Material Type"": ""Aluminum Alloy, Silicon Rubber"", ""Musical Style"": ""Country,Modern,Pop"", ""Size"": ""singel-handed capo"", ""Brand"": ""WINGO"", ""Color"": ""Rosewood Color"", ""Material"": ""Aluminum Alloy, Silicon Rubber"", ""Style"": ""Modern""}",B08T9CCXZB
